model,cluster_auc_mean,cluster_auc_std,cluster_f1_mean,cluster_mcc_mean,pnas_cv_auc_mean,pnas_cv_auc_std,pnas_blind_auc,pnas_blind_f1,pnas_blind_mcc
SVM (QSAR-12),0.9274553558966417,0.01574317710025824,0.8468181920653979,0.7026143128789697,0.9279744550881577,0.016008886785586648,0.9540292049756625,0.9302325581395349,0.8604651162790697
MLP (QSAR-12),0.9342999816131913,0.011860731417256456,0.8617182271138544,0.7228604453684447,0.9366652783562404,0.017071285077335727,0.975662520281233,0.9302325581395349,0.8604651162790697
SVM (Geo-24),0.9732854396493454,0.01691389530465445,0.9291279688889119,0.8626239823945017,0.9794807719005969,0.008513139457072142,0.9648458626284477,0.9024390243902439,0.8174982127673406
MLP (Geo-24),0.9806141833544932,0.016464767652428918,0.9394773017617528,0.8835822750850945,0.989310009718173,0.006019570564675494,0.9729583558680368,0.9176470588235294,0.8374357893586238
SVM (Combined-36),0.9849764832344434,0.006384158991112923,0.9373637041359393,0.8793754910872155,0.9859780646952657,0.006114873121073254,0.9853975121687399,0.9523809523809523,0.9079593845004517
MLP (Combined-36),0.9907766210820101,0.003982076503416068,0.9452774600078258,0.8945600169338424,0.9900874635568512,0.007912931003440512,0.9951325040562466,0.9767441860465116,0.9534883720930233
